Date,Time,Latitude,Longitude,Max Winds(kt),SSHWS,RMWnm,CentralPressure(mb),States Affected,Name
1851-08-23,09:00 PM,30.1,-85.7,100,3,,955,"AFL3,GA1","""Great Middle Florida"""
1852-08-26,06:00 AM,30.2,-88.6,100,3,10.0,961,"AL3,MS3,LA2,AFL1","""Great Mobile"""
1854-09-08,08:00 PM,31.7,-81.1,100,3,40.0,950,"GA3,SC2,DFL1","""Great Carolina"""
1855-09-16,03:00 AM,29.2,-89.5,110,3,,945,"LA3,MS3","""Middle Gulf Shore"""
1856-08-10,06:00 PM,29.2,-91.1,130,4,10.0,934,LA4,"""Last Island"""
1869-09-08,10:00 PM,41.4,-71.7,100,3,30.0,965,"RI3,MA3,CT1","""Eastern New England"""
1886-08-20,01:00 PM,28.1,-96.8,130,4,15.0,925,BTX4,"""Indianola"""
1893-08-28,05:00 AM,31.7,-81.1,100,3,25.0,954,"GA3,SC3,NC1,DFL1","""Sea Island"""
1893-10-02,08:00 AM,29.3,-89.8,115,4,10.0,948,LA4,"""Chenier Caminanda"""
1900-09-09,02:00 AM,29.1,-95.1,120,4,15.0,936,CTX4,"""Galveston"""
1909-07-21,05:00 PM,28.9,-95.3,100,3,20.0,959,CTX3,"""Velasco"""
1909-09-21,12:00 AM,29.5,-91.3,100,3,30.0,952,"LA3,MS2","""Grand Isle"""
1915-08-17,07:00 AM,29.2,-95.1,115,4,25.0,940,"CTX4,BTX1,LA1","""Galveston"""
1915-09-29,06:00 PM,29.1,-90.3,110,3,20.0,944,"LA3,MS2","""New Orleans"""
1921-10-25,08:00 PM,28.1,-82.8,100,3,20.0,958,"BFL3,AFL2,DFL1","""Tampa Bay"""
1926-09-18,12:00 PM,25.7,-80.3,125,4,20.0,930,"CFL4,BFL3","""Great Miami"""
1928-09-17,12:00 AM,26.7,-80.0,125,4,30.0,929,"CFL4,BFL3,AFL1,DFL1","""Lake Okeechobee"""
1932-08-14,04:00 AM,29.0,-95.2,130,4,10.0,935,"CTX4,BTX1","""Freeport"""
1935-09-03,02:00 AM,24.8,-80.8,160,5,5.0,892,"CFL5,BFL5","""Labor Day"""
1938-09-21,08:00 PM,40.7,-72.9,105,3,40.0,941,"NY3,CT3,RI3,MA2","""Great New England"""
1950-09-05,05:00 PM,29.1,-82.8,105,3,15.0,960,"AFL3,BFL1",Easy
1950-10-18,05:00 AM,25.7,-80.2,115,4,5.0,955,"CFL4,DFL1",King
1954-08-31,02:00 PM,40.9,-72.2,100,3,20.0,955,"NY3,CT3,RI3,MA2,NC1",Carol
1954-10-14,03:30 PM,33.9,-78.6,115,4,20.0,938,"SC4,NC4",Hazel
1957-06-27,01:30 PM,29.8,-93.7,110,3,15.0,946,"LA3,CTX2",Audrey
1958-09-27,06:00 PM,33.9,-77.6,110,3,20.0,938,NC3,Helene
1959-09-29,05:00 PM,32.5,-80.4,115,4,10.0,951,SC4,Gracie
1960-09-10,07:00 AM,24.8,-80.9,125,4,20.0,930,"BFL4,CFL4",Donna
1961-09-11,08:00 PM,28.3,-96.4,125,4,20.0,931,"BTX4, CTX3, ATX1",Carla
1965-09-08,04:00 AM,29.2,-90.1,115,4,30.0,946,LA4,Betsy
1965-09-08,11:00 AM,25.0,-80.5,100,3,30.0,952,"BFL3, CFL3",Betsy
1966-06-08,07:00 PM,24.6,-82.7,100,3,,962,"BFL3,AFL1",Alma
1967-09-20,12:00 PM,25.9,-97.2,100,3,10.0,940,ATX3,Beulah
